Sample ID,Site Type,Site Code,Site name,Site Grid Ref.,Visit date,Notes,Grid Ref.,Mean % Sun,Recorder Name,Start Time,End Time,% Sun,% Cloud,Temp (Deg C) term ID,Temp (Deg C) term,Wind Direction term ID,Wind Direction term,Wind Speed term ID,Wind Speed term,Reliability term ID,Reliability term
6340271,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",10/07/2018,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,13:50,14:25,,,16540,20,,,2458,6. Large branches move and trees sway,,
6191869,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",24/07/2018,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,10:00,12:00,,,16542,22,,,2453,1. Slight smoke drift,,
6191846,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",08/08/2018,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,10:00,11:00,,,16541,21,,,2453,1. Slight smoke drift,,
6190127,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",20/08/2018,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,13:35,14:20,,,16540,20,,,2453,1. Slight smoke drift,,
6191816,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",03/09/2018,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,13:35,14:35,,,16535,15,,,2453,1. Slight smoke drift,,
6022053,Transect,EBMS:Italy:22,Rovasenda-Vaglio,45.546361N 8.327333E,16/05/2018,,45.546361N 8.327333E,,"Italian Butterfly Group,",12:55,13:15,,,16541,21,,,2457,5. Small trees in leaf begin to sway,,
6022081,Transect,EBMS:Italy:22,Rovasenda-Vaglio,45.546361N 8.327333E,31/05/2018,,45.546361N 8.327333E,,"Italian Butterfly Group,",12:35,13:00,,,16543,23,,,2456,4. Dust raised and small branches move,,
6022109,Transect,EBMS:Italy:22,Rovasenda-Vaglio,45.546361N 8.327333E,19/06/2018,,45.546361N 8.327333E,,"Italian Butterfly Group,",14:00,14:25,,,16546,26,,,2456,4. Dust raised and small branches move,,
6022144,Transect,EBMS:Italy:22,Rovasenda-Vaglio,45.546361N 8.327333E,06/07/2018,,45.546361N 8.327333E,,"Italian Butterfly Group,",15:45,16:10,,,16549,29,,,2453,1. Slight smoke drift,,
6022176,Transect,EBMS:Italy:22,Rovasenda-Vaglio,45.546361N 8.327333E,27/07/2018,,45.546361N 8.327333E,,"Italian Butterfly Group,",14:00,14:25,,,16550,30,,,2455,3. Leaves and twigs in slight motion,,
6022204,Transect,EBMS:Italy:22,Rovasenda-Vaglio,45.546361N 8.327333E,06/08/2018,,45.546361N 8.327333E,,"Italian Butterfly Group,",14:40,15:00,,,16550,30,,,2455,3. Leaves and twigs in slight motion,,
6022232,Transect,EBMS:Italy:22,Rovasenda-Vaglio,45.546361N 8.327333E,20/08/2018,,45.546361N 8.327333E,,"Italian Butterfly Group,",12:30,12:55,,,16552,32,,,2453,1. Slight smoke drift,,
6022260,Transect,EBMS:Italy:22,Rovasenda-Vaglio,45.546361N 8.327333E,13/09/2018,,45.546361N 8.327333E,,"Italian Butterfly Group,",15:35,15:55,,,16550,30,,,2454,"2. Wind felt on face, leaves rustle",,
6022048,Transect,EBMS:Italy:23,Crescentino- San Genuario -Mosca,45.218667N 8.123944E,16/05/2018,,45.218667N 8.123944E,,"Italian Butterfly Group,",15:00,15:25,,,16541,21,,,2456,4. Dust raised and small branches move,,
6022076,Transect,EBMS:Italy:23,Crescentino- San Genuario -Mosca,45.218667N 8.123944E,31/05/2018,,45.218667N 8.123944E,,"Italian Butterfly Group,",17:15,17:45,,,16544,24,,,2456,4. Dust raised and small branches move,,
6022104,Transect,EBMS:Italy:23,Crescentino- San Genuario -Mosca,45.218667N 8.123944E,19/06/2018,,45.218667N 8.123944E,,"Italian Butterfly Group,",10:00,10:40,,,16543,23,,,2454,"2. Wind felt on face, leaves rustle",,
6022139,Transect,EBMS:Italy:23,Crescentino- San Genuario -Mosca,45.218667N 8.123944E,06/07/2018,,45.218667N 8.123944E,,"Italian Butterfly Group,",09:40,10:10,,,16548,28,,,2453,1. Slight smoke drift,,
6022172,Transect,EBMS:Italy:23,Crescentino- San Genuario -Mosca,45.218667N 8.123944E,27/07/2018,,45.218667N 8.123944E,,"Italian Butterfly Group,",10:00,10:40,,,16549,29,,,2454,"2. Wind felt on face, leaves rustle",,
